"Location";"Status";"Authors";"Title";"Bibliographical reference";"Composition (year_from)";"Composition (year_to)";"First publication (year_from)";"First publication (year_to)";"Language";"Text";"Comment";"General reference";"Line reference";"Overlap/Similarity";"Modifications";"Marking for work";"Marking for author";"Genre";"Subject";"Narrative voice";"Textual functions";"Intertextual relations";"Source";"Bib. ref. source";"URL";"Internal comment";"Contributor"
" God bless you, sir.";"unedited";"Macdonald P. Jackson";"Shakespeare and the Quarrel Scene in Arden of Faversham";"Jackson, Macdonald P.  ""Shakespeare and the Quarrel Scene in Arden of Faversham."" Shakespeare Quarterly 62:3 (2006): 249-293.";"2006";"2006";"2006";"2006";"English";"@006251 SEC more entries";"";"";"@006251 SEC - Shakespeare and the Quarrel in Arden of Faversham";"";"";"";"Author unmarked";"Academic";"Shakespeare";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Neil Rhodes";"Shakespeare's Sayings";"Rhodes, Neil.  ""Shakespeare's Sayings"". Shakespeare and Elizabethan Popular Culture. Eds. Stuart Gillespie and Neil Rhodes. London: The Arden Shakespeare, 2006. 155-173.";"2006";"2006";"2006";"2006";"English";"@010135 SEC";"";"";"@010135 SEC - Shakespeare's Sayings";"";"";"";"Author unmarked";"Academic";"Shakespeare";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Wolfgang Müller";"Hamlet (Müller edition)";"Müller, Wolfgang G.,  ed. William Shakespeare. Hamlet. Englisch-deutsche Studienausgabe. Tübingen: Stauffenberg, 2006. ";"2006";"2006";"2006";"2006";"English";"@010037 SEC";"";"";"@010037 SEC - Hamlet (Mueller edition)";"";"";"";"Author unmarked";"Annotated edition";"Shakespeare";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Charles Whitney";"Early Responses to Renaissance Drama";"Whitney, Charles.  Early Responses to Renaissance Drama. Cambridge: Cambridge University Press, 2006.";"2006";"2006";"2006";"2006";"English";"@010023 SEC more entries";"";"";"@010023 SEC - Early Responses to Renaissance Drama";"";"";"";"Author unmarked";"Academic";"Literature";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Roger Chartier / Peter Stallybrass";"Reading and Authorship";"Stallybrass, Peter and Roger Chartier.  ""Reading and Authorship: The Circulation of Shakespeare 1590-1619."" A Concise Companion to Shakespeare and the Text. Ed. Andrew Murphy. Oxford: Blackwell, 2007. ";"2007";"2007";"2007";"2007";"English";"@006284 SEC";"";"";"@006284 SEC - Reading and Authorship";"";"";"";"Author unmarked";"Academic";"Literature";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Alan B. Farmer / Zachary Lesser";"DEEP - Database of Early English Playbooks";"Lesser, Zachary and Alan B. Farmer.  DEEP - Database of Early English Playbooks. http://deep.sas.upenn.edu/. 2007.";"2007";"2007";"2007";"2007";"English";"@006152 SEC";"";"";"@006152 SEC - DEEP (Database of Early English Playbooks)";"";"";"";"Author unmarked";"Scholarly database";"Literature";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Martin White";"The Roman Actor (White edition)";"White, Martin,  ed. Philip Massinger. The Roman Actor. Manchester: Manchester University Press, 2007.";"2007";"2007";"2007";"2007";"English";"@006163 SEC more  Latin entries";"";"";"@006163 SEC - The Roman Actor (White edition)";"";"";"";"Author unmarked";"Annotated edition";"Literature";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Dennis McCarthy";"Sir Thomas North as Sir John Daw";"McCarthy, Dennis.  ""Sir Thomas North as Sir John Daw."" Notes and Queries (September 2007): 321-324.";"2007";"2007";"2007";"2007";"English";"@006170 SEC more entries, weird and indirect";"";"";"@006170 SEC - Sir Thomas North as Sir John Daw";"";"";"";"Author unmarked";"Academic";"Literature";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Arnd Bohm";"Wise Blood - The Aeneid and Marlowe's Doctor Faustus";"Bohm, Arnd.  ""Wise Blood: Aeneid 3. 22 57 and Marlowe's Doctor Faustus."" Notes and Queries 54.3´(September 2007): 248-249.";"2007";"2007";"2007";"2007";"English";"@006327 SEC more Latin entries, none up yet";"";"";"@006327 SEC - Wise Blood - The Aeneid and Doctor Faustus";"";"";"";"Author unmarked";"Academic";"Literature / Classical Studies";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Peter Stallybrass";"Against Thinking";"Stallybrass, Peter.  ""Against Thinking."" PMLA 122.5 (2007):1580-1587.";"2007";"2007";"2007";"2007";"English";"@010079 SEC";"";"";"@010079 SEC - Against Thinking";"";"";"";"Author unmarked";"Academic";"Literature";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Katherine Dorothea Duncan-Jones";"Francis Beaumont's Allusions to Shakespeare in The Woman Hater";"Duncan-Jones, Katherine.  ""Francis Beaumont's Allusions to Shakespeare in The Woman Hater."" Notes and Queries (2007): 320-321.";"2007";"2007";"2007";"2007";"English";"@010169 SEC exhausted";"";"";"@010169 SEC - Francis Beaumont's Allusions to Shakespeare";"";"";"";"Author unmarked";"Academic";"Shakespeare";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"_ 0_Anon";"DLCPP - Digital Library of Classic Protestant Texts";"Anon.  DLCPP - Digital Library of Classic Protestant Texts. 2007. http://solomon.tcpt.alexanderstreet.com. ";"2007";"2007";"2007";"2007";"English";"@010107 SEC";"";"";"@010107 SEC - DLCPP (Digital Library of Classic Protestant Texts";"";"";"";"Author unmarked";"Fulltext database";"";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Marvin W. Hunt";"Looking for Hamlet";"Hunt, Marvin W.  Looking for Hamlet. Basingstoke: Palgrave Macmillan, 2007.";"2007";"2007";"2007";"2007";"English";"@010036 SEC";"";"";"@010036 SEC - Looking for Hamlet";"";"";"";"Author unmarked";"Academic";"Shakespeare";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"John Lavagnino / Gary Taylor";"The Collected Works of Thomas Middleton (Taylor edition)";"Taylor, Gary and and John Lavagnino,  eds. The Collected Works of Thomas Middleton. Oxford: Clarendon Press, 2007.";"2007";"2007";"2007";"2007";"English";"@010126 SEC";"";"";"@010126 SEC - The Collected Works of Thomas Middleton (Taylor)";"";"";"";"Author unmarked";"Annotated edition";"Literature";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Samuel J. Blumenfeld";"@006313 The Marlowe-Shakespeare Connection";"Blumenfeld, Samuel.  The Marlowe-Shakespeare Connection: A New Study of the Authorship Question. Jefferson: Farland, 2008.";"2008";"2008";"2008";"2008";"English";"@006313 The Marlowe-Shakespeare Connection";"";"";"@006313 SEC - The Marlowe-Shakespeare Connection";"";"";"";"Author unmarked";"Academic";"Shakespeare";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Leah Scragg";"Love's Metamorphosis (Scragg edition)";"Scragg, Leah,  ed. John Lyly. Love's Metamorphosis. The Revels Plays. Manchester and New York: Manchester University Press, 2008.";"2008";"2008";"2008";"2008";"English";"@006097 SEC more Latin entries (index), more entries";"";"";"@006097 SEC - Love's Metamorphosis (Scragg edition)";"";"";"";"Author unmarked";"Annotated edition";"Literature";"";"";"";"";"";"";"";"  Hohl Regula"
